PRICE,BEDS,BATH,SUBLOCALITY_ENCODED,TYPE_ENCODED
315000,2,2.0,0.0,0.0
195000000,7,10.0,1.0,0.0
260000,4,2.0,2.0,1.0
69000,3,1.0,1.0,0.0
55000000,7,,1.0,2.0
690000,5,2.0,3.0,1.0
899500,2,2.0,4.0,0.0
16800000,8,16.0,2.0,1.0
265000,1,1.0,5.0,3.0
440000,2,1.0,6.0,3.0
375000,2,1.0,7.0,3.0
689000,3,,2.0,2.0
259000,3,1.0,8.0,3.0
430000,2,2.0,8.0,3.0
895000,3,1.0,4.0,3.0
549000,2,2.0,9.0,0.0
975000,3,2.0,10.0,2.0
199000,3,1.0,6.0,3.0
350000,1,1.0,7.0,3.0
599000,2,2.0,8.0,0.0
639999,3,2.0,2.0,1.0
1300000,2,2.0,8.0,0.0
1100000,6,3.0,11.0,4.0
349900,1,1.0,9.0,0.0
750000,2,2.0,2.0,1.0
1690000,6,4.0,10.0,4.0
325000,1,1.0,8.0,3.0
2250000,12,,4.0,4.0
230000,1,1.0,10.0,3.0
1299888,10,6.0,9.0,4.0
925000,5,2.0,11.0,4.0
329000,1,2.0,2.0,0.0
1300000,10,8.0,9.0,4.0
848000,5,4.0,3.0,4.0
279000,1,1.0,6.0,3.0
528000,1,1.0,6.0,0.0
1299888,11,4.0,9.0,4.0
275000,1,1.0,8.0,3.0
1165000,1,1.0,6.0,0.0
1199000,6,5.0,2.0,4.0
700000,6,2.0,11.0,4.0
2150000,8,4.0,3.0,4.0
1280000,7,5.0,10.0,4.0
199900,1,1.0,7.0,3.0
369000,2,1.0,8.0,3.0
699000,4,3.0,10.0,4.0
4250000,3,2.0,4.0,3.0
825000,2,2.0,10.0,4.0
329000,2,1.0,9.0,0.0
889000,2,2.0,2.0,4.0
769000,2,2.0,10.0,4.0
1200000,4,2.0,3.0,4.0
220500,2,1.0,9.0,3.0
1999000,3,3.0,3.0,4.0
3250000,2,2.0,0.0,3.0
1650000,2,2.0,6.0,0.0
1049000,4,4.0,2.0,4.0
998800,3,4.0,2.0,1.0
998800,3,4.0,4.0,1.0
3150000,3,2.0,6.0,5.0
849000,1,1.0,4.0,3.0
559500,1,1.0,6.0,3.0
750000,1,1.0,4.0,3.0
1900000,2,2.0,4.0,0.0
1250000,2,2.0,6.0,0.0
1395000,2,2.0,6.0,0.0
198000,1,1.0,8.0,3.0
619888,3,2.0,2.0,6.0
1489000,6,,2.0,4.0
65000000,3,,1.0,2.0
1595000,3,3.0,3.0,0.0
655000,3,2.0,3.0,0.0
1175000,2,2.0,6.0,0.0
2880000,9,,10.0,4.0
798000,3,4.0,2.0,4.0
1685000,3,,10.0,7.0
31000000,3,4.0,4.0,0.0
2550000,3,,3.0,7.0
119000,3,,11.0,7.0
269000,5,2.0,10.0,8.0
1650000,2,2.0,4.0,0.0
1650000,2,2.0,4.0,0.0
12950000,5,4.0,1.0,2.0
5750000,3,2.0,4.0,0.0
250000,5,2.0,10.0,4.0
950000,6,,8.0,9.0
585000,3,2.0,2.0,1.0
8750000,6,6.0,3.0,1.0
595000,3,1.0,3.0,1.0
215000,1,1.0,4.0,0.0
950000,1,1.0,1.0,5.0
314000,3,1.0,3.0,1.0
395000,5,1.0,1.0,0.0
600000,2,2.0,11.0,4.0
790000,6,3.0,2.0,4.0
539000,2,2.0,6.0,3.0
1295000,4,2.0,7.0,3.0
245000,3,1.0,11.0,1.0
400000,7,3.0,11.0,1.0
55000000,8,8.0,1.0,1.0
280000,1,1.0,6.0,3.0
899000,3,2.0,2.0,1.0
2280000,2,2.0,1.0,5.0
649000,4,3.0,3.0,10.0
739000,6,4.0,3.0,9.0
1495000,4,,2.0,1.0
3950000,5,2.0,3.0,1.0
325000,2,1.0,4.0,0.0
299999,3,1.0,4.0,9.0
2695000,6,5.0,1.0,2.0
4800000,6,,3.0,9.0
694000,3,3.0,2.0,1.0
688888,4,2.0,11.0,1.0
400000,4,2.0,3.0,1.0
346000,5,2.0,10.0,4.0
400000,4,2.0,3.0,1.0
346000,5,2.0,10.0,4.0
265000,3,1.0,10.0,1.0
319000,3,2.0,2.0,1.0
24800000,6,8.0,1.0,2.0
1100000,9,4.0,1.0,1.0
309000,6,2.0,10.0,4.0
650000,3,2.0,10.0,1.0
799000,4,2.0,2.0,1.0
259000,3,2.0,11.0,3.0
1195000,4,4.0,2.0,1.0
17500000,5,6.0,1.0,0.0
189000,2,2.0,9.0,0.0
759000,3,2.0,8.0,0.0
275000,4,1.0,3.0,1.0
499000,1,1.0,4.0,0.0
1249000,3,,11.0,1.0
69900,2,1.0,11.0,3.0
1150000,12,6.0,10.0,4.0
1749900,5,4.0,1.0,8.0
1399000,3,4.0,8.0,3.0
649000,3,2.0,8.0,0.0
499000,5,2.0,11.0,1.0
1050000,5,4.0,11.0,4.0
5000000,10,9.0,1.0,2.0
90000,1,1.0,2.0,9.0
56000000,11,10.0,1.0,1.0
650000,3,,11.0,2.0
500000,4,3.0,4.0,0.0
350000,2,1.0,2.0,1.0
1099000,4,2.0,10.0,1.0
90000,1,1.0,7.0,3.0
839000,4,2.0,10.0,1.0
659000,8,3.0,10.0,1.0
659000,8,3.0,10.0,1.0
399999,3,1.0,10.0,1.0
250000,3,1.0,6.0,0.0
1740000,2,2.0,1.0,5.0
650000,4,2.0,10.0,1.0
1165000,3,4.0,2.0,1.0
729900,3,2.0,2.0,1.0
1880000,3,4.0,3.0,1.0
449000,2,2.0,8.0,3.0
1175000,3,2.0,10.0,1.0
2750000,3,2.0,1.0,2.0
995000,3,2.0,10.0,1.0
2000000,3,2.0,0.0,0.0
15000000,8,6.0,3.0,2.0
2800000,4,6.0,2.0,1.0
2600000,5,4.0,10.0,1.0
3500000,6,6.0,1.0,2.0
550000,1,1.0,4.0,3.0
769000,3,4.0,2.0,9.0
675000,3,2.0,3.0,1.0
879000,4,2.0,2.0,1.0
918888,3,2.0,10.0,1.0
2400000,4,2.0,3.0,2.0
1730000,6,,10.0,1.0
425000,5,2.0,11.0,4.0
2500000,5,,10.0,1.0
998000,4,4.0,2.0,1.0
1195000,4,4.0,2.0,1.0
1649000,3,2.0,3.0,1.0
955000,4,4.0,2.0,1.0
949000,6,3.0,10.0,4.0
880000,3,2.0,10.0,1.0
39995000,4,,1.0,2.0
1250000,8,,1.0,2.0
899999,3,2.0,2.0,6.0
198000,1,1.0,8.0,0.0
549000,5,3.0,11.0,1.0
1088888,3,4.0,3.0,1.0
888000,4,2.0,11.0,1.0
65000,3,1.0,4.0,5.0
1449999,3,2.0,10.0,1.0
14900000,5,5.0,1.0,2.0
1695000,5,2.0,3.0,10.0
2499000,5,,10.0,1.0
1970000,4,4.0,3.0,2.0
1895000,2,2.0,6.0,3.0
689000,3,,2.0,1.0
649999,3,2.0,2.0,1.0
669000,3,2.0,2.0,1.0
800000,3,2.0,3.0,1.0
2375000,1,2.0,4.0,3.0
2400000,6,6.0,3.0,5.0
390000,2,1.0,2.0,1.0
2250000,1,1.0,4.0,0.0
1450000,4,,2.0,1.0
725000,2,2.0,6.0,0.0
269000,1,1.0,7.0,3.0
695000,2,2.0,4.0,3.0
1300000,3,2.0,11.0,1.0
459000,3,2.0,3.0,3.0
689999,3,2.0,2.0,1.0
425000,3,2.0,10.0,3.0
10000000,5,4.0,1.0,1.0
1525000,2,2.0,4.0,3.0
1499000,9,6.0,3.0,4.0
695000,2,2.0,4.0,3.0
1300000,3,2.0,11.0,1.0
269000,1,1.0,7.0,3.0
425000,3,2.0,10.0,3.0
1499000,9,6.0,3.0,4.0
519000,3,2.0,2.0,1.0
358000,2,1.0,8.0,3.0
975000,3,1.0,4.0,3.0
29200000,12,10.0,1.0,2.0
498000,2,1.0,6.0,3.0
385000,1,2.0,8.0,3.0
999000,6,2.0,11.0,4.0
399000,1,1.0,8.0,3.0
599000,4,4.0,2.0,6.0
829888,4,,4.0,1.0
699998,3,2.0,2.0,2.0
1088000,5,2.0,8.0,3.0
999000,6,2.0,11.0,1.0
1188888,15,9.0,10.0,4.0
265000,1,1.0,8.0,3.0
288000,1,1.0,6.0,3.0
999995,3,2.0,4.0,3.0
1495000,2,2.0,4.0,3.0
925000,1,1.0,4.0,3.0
349000,2,1.0,8.0,3.0
2000000,4,4.0,4.0,0.0
839000,3,2.0,3.0,0.0
329000,1,1.0,8.0,3.0
899000,6,3.0,11.0,4.0
