PRICE,BEDS,PROPERTYSQFT,SUBLOCALITY_ENCODED,TYPE_ENCODED
315000,2,1400.0,0.0,0.0
195000000,7,17545.0,1.0,0.0
260000,4,2015.0,2.0,1.0
69000,3,445.0,1.0,0.0
55000000,7,14175.0,1.0,2.0
690000,5,4004.0,3.0,1.0
899500,2,,4.0,0.0
16800000,8,33000.0,2.0,1.0
265000,1,750.0,5.0,3.0
440000,2,978.0,6.0,3.0
375000,2,850.0,7.0,3.0
689000,3,1162.0,2.0,2.0
259000,3,,8.0,3.0
430000,2,,8.0,3.0
895000,3,,4.0,3.0
549000,2,1000.0,9.0,0.0
975000,3,1734.0,10.0,2.0
199000,3,325.0,6.0,3.0
350000,1,700.0,7.0,3.0
599000,2,974.0,8.0,0.0
639999,3,1260.0,2.0,1.0
1300000,2,1244.0,8.0,0.0
1100000,6,2837.0,11.0,4.0
349900,1,651.0,9.0,0.0
750000,2,1330.0,2.0,1.0
1690000,6,2200.0,10.0,4.0
325000,1,,8.0,3.0
2250000,12,5670.0,4.0,4.0
230000,1,,10.0,3.0
1299888,10,3156.0,9.0,4.0
925000,5,2750.0,11.0,4.0
329000,1,794.0,2.0,0.0
1300000,10,5040.0,9.0,4.0
848000,5,2080.0,3.0,4.0
279000,1,750.0,6.0,3.0
528000,1,602.0,6.0,0.0
1299888,11,3156.0,9.0,4.0
275000,1,,8.0,3.0
1165000,1,815.0,6.0,0.0
1199000,6,3290.0,2.0,4.0
700000,6,3053.0,11.0,4.0
2150000,8,3200.0,3.0,4.0
1280000,7,2460.0,10.0,4.0
199900,1,,7.0,3.0
369000,2,,8.0,3.0
699000,4,1591.0,10.0,4.0
4250000,3,2400.0,4.0,3.0
825000,2,,10.0,4.0
329000,2,837.0,9.0,0.0
889000,2,1520.0,2.0,4.0
769000,2,,10.0,4.0
1200000,4,2536.0,3.0,4.0
220500,2,900.0,9.0,3.0
1999000,3,2739.0,3.0,4.0
3250000,2,1300.0,0.0,3.0
1650000,2,1267.0,6.0,0.0
1049000,4,2554.0,2.0,4.0
998800,3,2400.0,2.0,1.0
998800,3,2400.0,4.0,1.0
3150000,3,1952.0,6.0,5.0
849000,1,,4.0,3.0
559500,1,800.0,6.0,3.0
750000,1,835.0,4.0,3.0
1900000,2,1029.0,4.0,0.0
1250000,2,1201.0,6.0,0.0
1395000,2,1182.0,6.0,0.0
198000,1,,8.0,3.0
619888,3,1400.0,2.0,6.0
1489000,6,3780.0,2.0,4.0
65000000,3,15200.0,1.0,2.0
1595000,3,1413.0,3.0,0.0
655000,3,803.0,3.0,0.0
1175000,2,1115.0,6.0,0.0
2880000,9,2350.0,10.0,4.0
798000,3,2150.0,2.0,4.0
1685000,3,,10.0,7.0
31000000,3,4492.0,4.0,0.0
2550000,3,,3.0,7.0
119000,3,,11.0,7.0
269000,5,,10.0,8.0
1650000,2,1065.0,4.0,0.0
1650000,2,1065.0,4.0,0.0
12950000,5,3344.0,1.0,2.0
5750000,3,2223.0,4.0,0.0
250000,5,,10.0,4.0
950000,6,3384.0,8.0,9.0
585000,3,1100.0,2.0,1.0
8750000,6,,3.0,1.0
595000,3,1316.0,3.0,1.0
215000,1,625.0,4.0,0.0
950000,1,621.0,1.0,5.0
314000,3,1572.0,3.0,1.0
395000,5,1000.0,1.0,0.0
600000,2,,11.0,4.0
790000,6,2520.0,2.0,4.0
539000,2,1100.0,6.0,3.0
1295000,4,1995.0,7.0,3.0
245000,3,,11.0,1.0
400000,7,2385.0,11.0,1.0
55000000,8,12000.0,1.0,1.0
280000,1,1000.0,6.0,3.0
899000,3,1440.0,2.0,1.0
2280000,2,1400.0,1.0,5.0
649000,4,,3.0,10.0
739000,6,,3.0,9.0
1495000,4,3000.0,2.0,1.0
3950000,5,3528.0,3.0,1.0
325000,2,979.0,4.0,0.0
299999,3,,4.0,9.0
2695000,6,4720.0,1.0,2.0
4800000,6,3958.0,3.0,9.0
694000,3,1360.0,2.0,1.0
688888,4,2846.0,11.0,1.0
400000,4,1980.0,3.0,1.0
346000,5,,10.0,4.0
400000,4,1980.0,3.0,1.0
346000,5,,10.0,4.0
265000,3,,10.0,1.0
319000,3,1224.0,2.0,1.0
24800000,6,,1.0,2.0
1100000,9,3276.0,1.0,1.0
309000,6,,10.0,4.0
650000,3,1522.0,10.0,1.0
799000,4,1975.0,2.0,1.0
259000,3,1089.0,11.0,3.0
1195000,4,2704.0,2.0,1.0
17500000,5,5499.0,1.0,0.0
189000,2,966.0,9.0,0.0
759000,3,1200.0,8.0,0.0
275000,4,,3.0,1.0
499000,1,630.0,4.0,0.0
1249000,3,,11.0,1.0
69900,2,700.0,11.0,3.0
1150000,12,5508.0,10.0,4.0
1749900,5,3740.0,1.0,8.0
1399000,3,1993.0,8.0,3.0
649000,3,1182.0,8.0,0.0
499000,5,1760.0,11.0,1.0
1050000,5,3132.0,11.0,4.0
5000000,10,6425.0,1.0,2.0
90000,1,660.0,2.0,9.0
56000000,11,24000.0,1.0,1.0
650000,3,1638.0,11.0,2.0
500000,4,1794.0,4.0,0.0
350000,2,490.0,2.0,1.0
1099000,4,,10.0,1.0
90000,1,450.0,7.0,3.0
839000,4,,10.0,1.0
659000,8,,10.0,1.0
659000,8,,10.0,1.0
399999,3,,10.0,1.0
250000,3,,6.0,0.0
1740000,2,1132.0,1.0,5.0
650000,4,2244.0,10.0,1.0
1165000,3,3500.0,2.0,1.0
729900,3,1150.0,2.0,1.0
1880000,3,3150.0,3.0,1.0
449000,2,1549.0,8.0,3.0
1175000,3,2250.0,10.0,1.0
2750000,3,,1.0,2.0
995000,3,,10.0,1.0
2000000,3,2000.0,0.0,0.0
15000000,8,,3.0,2.0
2800000,4,8333.0,2.0,1.0
